ID задачи;Название;Область;Число навыков;Навыки;Длительность от, мин;Длительность до, мин
T0090;Демонтаж: кабель до квартиры;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0091;Монтаж: оптический бокс в подъезде;Оптика и GPON;1;Оптика;20;45
T0092;Сварка на: оптический бокс в подъезде;Оптика и GPON;2;Оптика, Монтаж;40;80
T0093;Измерение: оптический бокс в подъезде;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0094;Замена: оптический бокс в подъезде;Оптика и GPON;1;Оптика;20;45
T0095;Чистка портов: оптический бокс в подъезде;Оптика и GPON;2;Оптика, Монтаж;40;80
T0096;Демонтаж: оптический бокс в подъезде;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0097;Монтаж: делитель на этаже;Оптика и GPON;1;Оптика;20;45
T0098;Сварка на: делитель на этаже;Оптика и GPON;2;Оптика, Монтаж;40;80
T0099;Измерение: делитель на этаже;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0100;Замена: делитель на этаже;Оптика и GPON;1;Оптика;20;45
T0101;Чистка портов: делитель на этаже;Оптика и GPON;2;Оптика, Монтаж;40;80
T0102;Демонтаж: делитель на этаже;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0103;Монтаж: кросс в стойке оператора;Оптика и GPON;1;Оптика;20;45
T0104;Сварка на: кросс в стойке оператора;Оптика и GPON;2;Оптика, Монтаж;40;80
T0105;Измерение: кросс в стойке оператора;Оптика и GPON;3;Оптика, Измерения, Документирование;70;120
T0106;Замена: кросс в стойке оператора;Оптика и GPON;1;Оптика;20;45
T0107;Чистка портов: кросс в стойке оператора;Оптика и GPON;2;Оптика, Монтаж;40;80
T0108;Демонтаж: кросс в стойке оператора;Оптика и GPON;3;Оптика, Демонтаж, Документирование;70;120
T0109;Кроссировка новой линии;Медь и xDSL;1;Медная линия;20;45
T0110;Поиск обрыва медной пары;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0111;Подключение модема у клиента;Медь и xDSL;2;Медная линия, Абонентское оборудование;40;80
T0112;Разделка кабеля в боксе;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0113;Кроссировка: кросс медный;Медь и xDSL;1;Медная линия;20;45
T0114;Разделка: кросс медный;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0115;Измерение: кросс медный;Медь и xDSL;3;Медная линия, Измерения, Документирование;70;120
T0116;Замена: кросс медный;Медь и xDSL;1;Медная линия;20;45
T0117;Прозвонка: кросс медный;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0118;Монтаж: кросс медный;Медь и xDSL;3;Медная линия, Монтаж, Документирование;70;120
T0119;Кроссировка: кабель в подъезде;Медь и xDSL;1;Медная линия;20;45
T0120;Разделка: кабель в подъезде;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0121;Измерение: кабель в подъезде;Медь и xDSL;3;Медная линия, Измерения, Документирование;70;120
T0122;Замена: кабель в подъезде;Медь и xDSL;1;Медная линия;20;45
T0123;Прозвонка: кабель в подъезде;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0124;Монтаж: кабель в подъезде;Медь и xDSL;3;Медная линия, Монтаж, Документирование;70;120
T0125;Кроссировка: бокс связи;Медь и xDSL;1;Медная линия;20;45
T0126;Разделка: бокс связи;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0127;Измерение: бокс связи;Медь и xDSL;3;Медная линия, Измерения, Документирование;70;120
T0128;Замена: бокс связи;Медь и xDSL;1;Медная линия;20;45
T0129;Прозвонка: бокс связи;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0130;Монтаж: бокс связи;Медь и xDSL;3;Медная линия, Монтаж, Документирование;70;120
T0131;Кроссировка: абонентская линия;Медь и xDSL;1;Медная линия;20;45
T0132;Разделка: абонентская линия;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0133;Измерение: абонентская линия;Медь и xDSL;3;Медная линия, Измерения, Документирование;70;120
T0134;Замена: абонентская линия;Медь и xDSL;1;Медная линия;20;45
T0135;Прозвонка: абонентская линия;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0136;Монтаж: абонентская линия;Медь и xDSL;3;Медная линия, Монтаж, Документирование;70;120
T0137;Кроссировка: распредкоробка;Медь и xDSL;1;Медная линия;20;45
T0138;Разделка: распредкоробка;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0139;Измерение: распредкоробка;Медь и xDSL;3;Медная линия, Измерения, Документирование;70;120
T0140;Замена: распредкоробка;Медь и xDSL;1;Медная линия;20;45
T0141;Прозвонка: распредкоробка;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0142;Монтаж: распредкоробка;Медь и xDSL;3;Медная линия, Монтаж, Документирование;70;120
T0143;Кроссировка: щиток связи;Медь и xDSL;1;Медная линия;20;45
T0144;Разделка: щиток связи;Медь и xDSL;2;Медная линия, Монтаж;40;80
T0145;Измерение: щиток связи;Медь и xDSL;3;Медная линия, Измерения, Электробезопасность;70;120
T0146;Замена: щиток связи;Медь и xDSL;1;Медная линия;20;45
T0147;Прозвонка: щиток связи;Медь и xDSL;2;Медная линия, Диагностика;40;80
T0148;Монтаж: щиток связи;Медь и xDSL;3;Медная линия, Монтаж, Электробезопасность;70;120
T0149;Прокладка СКС в офисе;СКС и ЛВС;2;СКС, Монтаж;40;80
T0150;Обжим розетки рабочего места;СКС и ЛВС;1;СКС;20;45
T0151;Монтаж патч-панели в шкафу;СКС и ЛВС;2;СКС, Оборудование стоек;40;80
T0152;Сертификация линии;СКС и ЛВС;3;СКС, Измерения, Документирование;70;120
T0153;Прокладка: кабель витая пара;СКС и ЛВС;1;СКС;20;45
T0154;Обжим: кабель витая пара;СКС и ЛВС;2;СКС, Монтаж;40;80
T0155;Монтаж: кабель витая пара;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0156;Тестирование: кабель витая пара;СКС и ЛВС;1;СКС;20;45
T0157;Маркировка: кабель витая пара;СКС и ЛВС;2;СКС, Документирование;40;80
T0158;Замена: кабель витая пара;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0159;Прокладка: патч-панель;СКС и ЛВС;1;СКС;20;45
T0160;Обжим: патч-панель;СКС и ЛВС;2;СКС, Монтаж;40;80
T0161;Монтаж: патч-панель;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0162;Тестирование: патч-панель;СКС и ЛВС;1;СКС;20;45
T0163;Маркировка: патч-панель;СКС и ЛВС;2;СКС, Документирование;40;80
T0164;Замена: патч-панель;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0165;Прокладка: розетка рабочего места;СКС и ЛВС;1;СКС;20;45
T0166;Обжим: розетка рабочего места;СКС и ЛВС;2;СКС, Монтаж;40;80
T0167;Монтаж: розетка рабочего места;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0168;Тестирование: розетка рабочего места;СКС и ЛВС;1;СКС;20;45
T0169;Маркировка: розетка рабочего места;СКС и ЛВС;2;СКС, Документирование;40;80
T0170;Замена: розетка рабочего места;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0171;Прокладка: шкаф 19 дюймов;СКС и ЛВС;1;СКС;20;45
T0172;Обжим: шкаф 19 дюймов;СКС и ЛВС;2;СКС, Монтаж;40;80
T0173;Монтаж: шкаф 19 дюймов;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0174;Тестирование: шкаф 19 дюймов;СКС и ЛВС;1;СКС;20;45
T0175;Маркировка: шкаф 19 дюймов;СКС и ЛВС;2;СКС, Документирование;40;80
T0176;Замена: шкаф 19 дюймов;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0177;Прокладка: кабель-канал;СКС и ЛВС;1;СКС;20;45
T0178;Обжим: кабель-канал;СКС и ЛВС;2;СКС, Монтаж;40;80
T0179;Монтаж: кабель-канал;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0180;Тестирование: кабель-канал;СКС и ЛВС;1;СКС;20;45
T0181;Маркировка: кабель-канал;СКС и ЛВС;2;СКС, Документирование;40;80
T0182;Замена: кабель-канал;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0183;Прокладка: потолочный лоток;СКС и ЛВС;1;СКС;20;45
T0184;Обжим: потолочный лоток;СКС и ЛВС;2;СКС, Монтаж;40;80
T0185;Монтаж: потолочный лоток;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0186;Тестирование: потолочный лоток;СКС и ЛВС;1;СКС;20;45
T0187;Маркировка: потолочный лоток;СКС и ЛВС;2;СКС, Документирование;40;80
T0188;Замена: потолочный лоток;СКС и ЛВС;3;СКС, Монтаж, Документирование;70;120
T0189;Установка потолочной точки доступа;Wi-Fi;2;Wi-Fi, Монтаж;40;80
T0190;Настройка корпоративной сети Wi-Fi;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0191;Обследование покрытия офиса;Wi-Fi;2;Wi-Fi, Измерения;40;80
T0192;Подключение точки к контроллеру;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0193;Монтаж: точка доступа потолочная;Wi-Fi;1;Wi-Fi;20;45
T0194;Настройка: точка доступа потолочная;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0195;Замена: точка доступа потолочная;Wi-Fi;3;Wi-Fi, Монтаж, Документирование;70;120
T0196;Обследование: точка доступа потолочная;Wi-Fi;1;Wi-Fi;20;45
T0197;Обновление ПО: точка доступа потолочная;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0198;Монтаж: точка доступа уличная;Wi-Fi;3;Wi-Fi, Монтаж, Работа на высоте;70;120
T0199;Настройка: точка доступа уличная;Wi-Fi;1;Wi-Fi;20;45
T0200;Замена: точка доступа уличная;Wi-Fi;2;Wi-Fi, Монтаж;40;80
T0201;Обследование: точка доступа уличная;Wi-Fi;3;Wi-Fi, Диагностика, Работа на высоте;70;120
T0202;Обновление ПО: точка доступа уличная;Wi-Fi;1;Wi-Fi;20;45
T0203;Монтаж: контроллер беспроводной сети;Wi-Fi;2;Wi-Fi, Монтаж;40;80
T0204;Настройка: контроллер беспроводной сети;Wi-Fi;3;Wi-Fi, Пусконаладка, Документирование;70;120
T0205;Замена: контроллер беспроводной сети;Wi-Fi;1;Wi-Fi;20;45
T0206;Обследование: контроллер беспроводной сети;Wi-Fi;2;Wi-Fi, Диагностика;40;80
T0207;Обновление ПО: контроллер беспроводной сети;Wi-Fi;3;Wi-Fi, Пусконаладка, Документирование;70;120
T0208;Монтаж: антенна точки доступа;Wi-Fi;1;Wi-Fi;20;45
T0209;Настройка: антенна точки доступа;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0210;Замена: антенна точки доступа;Wi-Fi;3;Wi-Fi, Монтаж, Работа на высоте;70;120
T0211;Обследование: антенна точки доступа;Wi-Fi;1;Wi-Fi;20;45
T0212;Обновление ПО: антенна точки доступа;Wi-Fi;2;Wi-Fi, Пусконаладка;40;80
T0213;Монтаж: меш-узел;Wi-Fi;3;Wi-Fi, Монтаж, Документирование;70;120
T0214;Настройка: меш-узел;Wi-Fi;1;Wi-Fi;20;45
T0215;Замена: меш-узел;Wi-Fi;2;Wi-Fi, Монтаж;40;80
T0216;Обследование: меш-узел;Wi-Fi;3;Wi-Fi, Диагностика, Документирование;70;120
T0217;Обновление ПО: меш-узел;Wi-Fi;1;Wi-Fi;20;45
T0218;Подключение VPN до головного офиса;Маршрутизация и VPN;2;Маршрутизация, Пусконаладка;40;80
T0219;Настройка маршрутизатора на площадке;Маршрутизация и VPN;1;Маршрутизация;20;45
T0220;Диагностика обрыва VPN;Маршрутизация и VPN;2;Маршрутизация, Диагностика;40;80
T0221;Настройка сети офиса;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0222;Настройка: маршрутизатор площадки;Маршрутизация и VPN;1;Маршрутизация;20;45
T0223;Диагностика: маршрутизатор площадки;Маршрутизация и VPN;2;Маршрутизация, Диагностика;40;80
T0224;Замена: маршрутизатор площадки;Маршрутизация и VPN;3;Маршрутизация, Монтаж, Документирование;70;120
T0225;Обновление ПО: маршрутизатор площадки;Маршрутизация и VPN;1;Маршрутизация;20;45
T0226;Резервирование: маршрутизатор площадки;Маршрутизация и VPN;2;Маршрутизация, Пусконаладка;40;80
T0227;Настройка: межсетевой экран;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0228;Диагностика: межсетевой экран;Маршрутизация и VPN;1;Маршрутизация;20;45
T0229;Замена: межсетевой экран;Маршрутизация и VPN;2;Маршрутизация, Монтаж;40;80
T0230;Обновление ПО: межсетевой экран;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0231;Резервирование: межсетевой экран;Маршрутизация и VPN;1;Маршрутизация;20;45
T0232;Настройка: канал VPN до офиса;Маршрутизация и VPN;2;Маршрутизация, Пусконаладка;40;80
T0233;Диагностика: канал VPN до офиса;Маршрутизация и VPN;3;Маршрутизация, Диагностика, Документирование;70;120
T0234;Замена: канал VPN до офиса;Маршрутизация и VPN;1;Маршрутизация;20;45
T0235;Обновление ПО: канал VPN до офиса;Маршрутизация и VPN;2;Маршрутизация, Пусконаладка;40;80
T0236;Резервирование: канал VPN до офиса;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0237;Настройка: канал до ЦОД;Маршрутизация и VPN;1;Маршрутизация;20;45
T0238;Диагностика: канал до ЦОД;Маршрутизация и VPN;2;Маршрутизация, Диагностика;40;80
T0239;Замена: канал до ЦОД;Маршрутизация и VPN;3;Маршрутизация, Монтаж, Документирование;70;120
T0240;Обновление ПО: канал до ЦОД;Маршрутизация и VPN;1;Маршрутизация;20;45
T0241;Резервирование: канал до ЦОД;Маршрутизация и VPN;2;Маршрутизация, Пусконаладка;40;80
T0242;Настройка: абонентский шлюз;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0243;Диагностика: абонентский шлюз;Маршрутизация и VPN;1;Маршрутизация;20;45
T0244;Замена: абонентский шлюз;Маршрутизация и VPN;2;Маршрутизация, Монтаж;40;80
T0245;Обновление ПО: абонентский шлюз;Маршрутизация и VPN;3;Маршрутизация, Пусконаладка, Документирование;70;120
T0246;Резервирование: абонентский шлюз;Маршрутизация и VPN;1;Маршрутизация;20;45
T0247;Настройка сети на коммутаторе этажа;Коммутация;2;Коммутация, Пусконаладка;40;80
T0248;Замена оптического модуля;Коммутация;1;Коммутация;20;45
T0249;Устранение петли в сети;Коммутация;2;Коммутация, Диагностика;40;80
T0250;Включение питания точек доступа на портах;Коммутация;2;Коммутация, Wi-Fi;40;80
T0251;Настройка: коммутатор доступа;Коммутация;1;Коммутация;20;45
T0252;Замена: коммутатор доступа;Коммутация;2;Коммутация, Монтаж;40;80
T0253;Диагностика: коммутатор доступа;Коммутация;3;Коммутация, Диагностика, Документирование;70;120
T0254;Обновление ПО: коммутатор доступа;Коммутация;1;Коммутация;20;45
T0255;Маркировка: коммутатор доступа;Коммутация;2;Коммутация, Документирование;40;80
T0256;Настройка: коммутатор агрегации;Коммутация;3;Коммутация, Пусконаладка, Документирование;70;120
T0257;Замена: коммутатор агрегации;Коммутация;1;Коммутация;20;45
T0258;Диагностика: коммутатор агрегации;Коммутация;2;Коммутация, Диагностика;40;80
T0259;Обновление ПО: коммутатор агрегации;Коммутация;3;Коммутация, Пусконаладка, Документирование;70;120
T0260;Маркировка: коммутатор агрегации;Коммутация;1;Коммутация;20;45
T0261;Настройка: оптический модуль;Коммутация;2;Коммутация, Пусконаладка;40;80
T0262;Замена: оптический модуль;Коммутация;3;Коммутация, Монтаж, Документирование;70;120
T0263;Диагностика: оптический модуль;Коммутация;1;Коммутация;20;45
T0264;Обновление ПО: оптический модуль;Коммутация;2;Коммутация, Пусконаладка;40;80
T0265;Маркировка: оптический модуль;Коммутация;2;Коммутация, Документирование;40;80
T0266;Настройка: порт транка;Коммутация;1;Коммутация;20;45
T0267;Замена: порт транка;Коммутация;2;Коммутация, Монтаж;40;80
T0268;Диагностика: порт транка;Коммутация;3;Коммутация, Диагностика, Документирование;70;120
T0269;Обновление ПО: порт транка;Коммутация;1;Коммутация;20;45
T0270;Маркировка: порт транка;Коммутация;2;Коммутация, Документирование;40;80
T0271;Настройка: стековый кабель;Коммутация;3;Коммутация, Пусконаладка, Документирование;70;120
T0272;Замена: стековый кабель;Коммутация;1;Коммутация;20;45
T0273;Диагностика: стековый кабель;Коммутация;2;Коммутация, Диагностика;40;80
T0274;Обновление ПО: стековый кабель;Коммутация;3;Коммутация, Пусконаладка, Документирование;70;120
T0275;Маркировка: стековый кабель;Коммутация;1;Коммутация;20;45
T0276;Установка телефона на рабочем месте;VoIP и АТС;1;Телефония;20;45
T0277;Настройка транка на АТС;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0278;Устранение односторонней слышимости;VoIP и АТС;2;Телефония, Диагностика;40;80
T0279;Программирование голосового меню;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0280;Подключение: IP-телефон;VoIP и АТС;1;Телефония;20;45
T0281;Настройка: IP-телефон;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0282;Прошивка: IP-телефон;VoIP и АТС;3;Телефония, Пусконаладка, Документирование;70;120
T0283;Диагностика: IP-телефон;VoIP и АТС;1;Телефония;20;45
T0284;Замена: IP-телефон;VoIP и АТС;2;Телефония, Монтаж;40;80
T0285;Подключение: офисная АТС;VoIP и АТС;3;Телефония, Монтаж, Документирование;70;120
T0286;Настройка: офисная АТС;VoIP и АТС;1;Телефония;20;45
T0287;Прошивка: офисная АТС;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0288;Диагностика: офисная АТС;VoIP и АТС;3;Телефония, Диагностика, Документирование;70;120
T0289;Замена: офисная АТС;VoIP и АТС;1;Телефония;20;45
T0290;Подключение: шлюз аналоговых линий;VoIP и АТС;2;Телефония, Монтаж;40;80
T0291;Настройка: шлюз аналоговых линий;VoIP и АТС;3;Телефония, Пусконаладка, Документирование;70;120
T0292;Прошивка: шлюз аналоговых линий;VoIP и АТС;1;Телефония;20;45
T0293;Диагностика: шлюз аналоговых линий;VoIP и АТС;2;Телефония, Диагностика;40;80
T0294;Замена: шлюз аналоговых линий;VoIP и АТС;3;Телефония, Монтаж, Документирование;70;120
T0295;Подключение: транк к оператору;VoIP и АТС;1;Телефония;20;45
T0296;Настройка: транк к оператору;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0297;Прошивка: транк к оператору;VoIP и АТС;3;Телефония, Пусконаладка, Документирование;70;120
T0298;Диагностика: транк к оператору;VoIP и АТС;1;Телефония;20;45
T0299;Замена: транк к оператору;VoIP и АТС;2;Телефония, Монтаж;40;80
T0300;Подключение: гарнитура оператора;VoIP и АТС;3;Телефония, Монтаж, Документирование;70;120
T0301;Настройка: гарнитура оператора;VoIP и АТС;1;Телефония;20;45
T0302;Прошивка: гарнитура оператора;VoIP и АТС;2;Телефония, Пусконаладка;40;80
T0303;Диагностика: гарнитура оператора;VoIP и АТС;3;Телефония, Диагностика, Документирование;70;120
T0304;Замена: гарнитура оператора;VoIP и АТС;1;Телефония;20;45
T0305;Установка уличной камеры;Видеонаблюдение;3;Видеонаблюдение, Монтаж, Работа на высоте;70;120
T0306;Подключение камеры к регистратору;Видеонаблюдение;2;Видеонаблюдение, Пусконаладка;40;80
T0307;Прокладка линии к камере;Видеонаблюдение;2;Видеонаблюдение, Монтаж;40;80
T0308;Настройка архива записи;Видеонаблюдение;2;Видеонаблюдение, Пусконаладка;40;80
T0309;Монтаж: IP-камера купольная;Видеонаблюдение;1;Видеонаблюдение;20;45
T0310;Настройка: IP-камера купольная;Видеонаблюдение;2;Видеонаблюдение, Пусконаладка;40;80
